                                #dataset  epsilon_alpha     mec  hapchat  whatshap
    sim.pacbio.child.chr21.cov40.raw.h20          05_01   82502   100273     82493
    sim.pacbio.child.chr21.cov40.raw.h20           05_1   82578   128823     82493
     sim.pacbio.child.chr21.cov5.raw.h15       05_00001   31468    31468     31464
     sim.pacbio.child.chr21.cov5.raw.h15        05_0001   31470    31471     31464
     sim.pacbio.child.chr21.cov5.raw.h15         05_001   31504    32254     31464
     sim.pacbio.child.chr21.cov5.raw.h15          05_01   32405    38620     31464
     sim.pacbio.child.chr21.cov5.raw.h15           05_1   35121    50997     31464
     sim.pacbio.child.chr21.cov5.raw.h20       05_00001   31499    31499     31495
     sim.pacbio.child.chr21.cov5.raw.h20        05_0001   31501    31502     31495
     sim.pacbio.child.chr21.cov5.raw.h20         05_001   31535    32285     31495
     sim.pacbio.child.chr21.cov5.raw.h20          05_01   32436    38651     31495
     sim.pacbio.child.chr21.cov5.raw.h20           05_1   35111    49977     31495
    sim.pacbio.child.chr21.cov50.raw.h15       05_00001   60366    60470     60360
    sim.pacbio.child.chr21.cov50.raw.h15        05_0001   60366    61551     60360
    sim.pacbio.child.chr21.cov50.raw.h15         05_001   60376    65605     60360
    sim.pacbio.child.chr21.cov50.raw.h15          05_01   60674    78787     60360
    sim.pacbio.child.chr21.cov50.raw.h15           05_1   60727    98819     60360
    sim.pacbio.child.chr21.cov50.raw.h20       05_00001   82739    82929     82731
    sim.pacbio.child.chr21.cov50.raw.h20        05_0001   82739    83886     82731
    sim.pacbio.child.chr21.cov50.raw.h20         05_001   82739    86954     82731
    sim.pacbio.child.chr21.cov50.raw.h20          05_01   82739   102470     82731
    sim.pacbio.child.chr21.cov50.raw.h20           05_1   82815   132720     82731
    sim.pacbio.child.chr21.cov60.raw.h15       05_00001   60366    60470     60360
    sim.pacbio.child.chr21.cov60.raw.h15        05_0001   60366    61551     60360
    sim.pacbio.child.chr21.cov60.raw.h15         05_001   60376    65605     60360
    sim.pacbio.child.chr21.cov60.raw.h15          05_01   60674    78787     60360
    sim.pacbio.child.chr21.cov60.raw.h15           05_1   60727    98819     60360
    sim.pacbio.child.chr21.cov60.raw.h20       05_00001   82739    82929     82731
    sim.pacbio.child.chr21.cov60.raw.h20        05_0001   82739    83886     82731
    sim.pacbio.child.chr21.cov60.raw.h20         05_001   82739    86954     82731
    sim.pacbio.child.chr21.cov60.raw.h20          05_01   82739   102470     82731
    sim.pacbio.child.chr21.cov60.raw.h20           05_1   82815   132720     82731
   sim.pacbio.child.chr21.covall.raw.h15       05_00001   63784    63866     63784
   sim.pacbio.child.chr21.covall.raw.h15        05_0001   63808    64851     63784
   sim.pacbio.child.chr21.covall.raw.h15         05_001   63821    69089     63784
   sim.pacbio.child.chr21.covall.raw.h15          05_01   63877    83705     63784
   sim.pacbio.child.chr21.covall.raw.h15           05_1   64283    99282     63784
   sim.pacbio.child.chr21.covall.raw.h20       05_00001   85869    86561     85862
   sim.pacbio.child.chr21.covall.raw.h20        05_0001   85869    88376     85862
   sim.pacbio.child.chr21.covall.raw.h20         05_001   85874    92807     85862
   sim.pacbio.child.chr21.covall.raw.h20          05_01   85923   111349     85862
   sim.pacbio.child.chr21.covall.raw.h20           05_1   86107   133666     85862
