Data,Technology,Individual,Chr,MeanCov,RawRealigned,WhDownsample,Merged,RndDownsample,Epsilon,Alpha,SwErrRatePerc,MecScore,TimeSecs,MaxMemMB
sim,pacbio,child,chr21,60,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.01,0.80,135181,45.56,36.5078125
sim,pacbio,child,chr1,60,raw,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.1,1.21,626472,15.88,5.48828125
sim,pacbio,child,chr21,25,raw,15,no_merged,no_downs,0.05,0.0001,0.13,64851,22.99,11.89453125
sim,pacbio,child,chr1,5,raw,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.0001,3.50,116893,2.57,2.62890625
sim,pacbio,child,chr21,20,raw,15,no_merged,no_downs,0.05,0.01,0.19,84636,3.63,3.85546875
ashk,pacbio,child,chr21,all,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.01,0.58,85380,54.17,36.859375
sim,pacbio,child,chr21,all,realigned,N,no_merged,downs_s1_m20,0.05,0.1,0.01,95250,5.74,6.01953125
sim,pacbio,child,chr21,40,raw,N,no_merged,downs_s1_m15,0.05,0.0001,0.57,69540,37.1,12.78125
sim,pacbio,child,chr21,25,realigned,20,no_merged,no_downs,0.05,0.01,0.02,83370,30.25,15.5859375
ashk,pacbio,child,chr21,40,raw,15,no_merged,no_downs,0.05,0.01,0.74,74391,3.35,3.71484375
ashk,pacbio,child,chr21,all,realigned,N,no_merged,downs_s1_m20,0.05,0.01,0.55,87450,115.05,42.68359375
ashk,pacbio,child,chr1,15,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.001,0.26,239820,28.64,5.41015625
ashk,pacbio,child,chr21,25,realigned,15,no_merged,no_downs,0.05,0.1,0.55,64230,1.06,2.5859375
ashk,pacbio,child,chr1,60,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.0001,0.24,474150,3395.46,205.12109375
ashk,pacbio,child,chr1,20,raw,20,no_merged,no_downs,0.05,0.0001,0.63,447990,1179.01,121.40234375
sim,pacbio,child,chr21,50,realigned,N,no_merged,downs_s1_m20,0.05,0.01,0.42,89310,91.48,36.2734375
ashk,pacbio,child,chr1,all,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.001,0.24,474900,1221.62,91.26171875
sim,pacbio,child,chr1,50,realigned,15,no_merged,no_downs,0.05,0.1,0.21,401400,5.52,3.765625
ashk,pacbio,child,chr21,10,raw,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.001,1.78,56993,3.13,3.48046875
sim,pacbio,child,chr1,50,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.0001,0.22,441510,2474.63,178.0234375
ashk,pacbio,child,chr21,15,raw,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.0001,1.09,69594,15.56,9.578125
ashk,pacbio,child,chr21,10,realigned,15,no_merged,no_downs,0.05,0.0001,0.67,43530,11.7,7.5078125
sim,pacbio,child,chr1,60,raw,20,no_merged,no_downs,0.05,0.001,0.32,482307,691.06,109.78515625
sim,pacbio,child,chr21,all,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.1,0.42,135667,25.87,28.90234375
ashk,pacbio,child,chr21,40,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.1,0.57,72240,1.15,2.37890625
ashk,pacbio,child,chr21,30,realigned,N,no_merged,downs_s1_m15,0.05,0.1,0.56,68340,1.75,2.875
ashk,pacbio,child,chr21,30,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.0001,0.55,72240,361.33,87.921875
sim,pacbio,child,chr1,40,raw,N,no_merged,downs_s1_m20,0.05,0.01,0.49,577545,306.64,55.67578125
ashk,pacbio,child,chr21,25,raw,20,no_merged,no_downs,0.05,0.01,0.76,106345,32.91,21.30078125
sim,pacbio,child,chr21,5,realigned,15,no_merged,no_downs,0.05,0.1,0.30,35670,0.21,2.0546875
ashk,pacbio,child,chr1,50,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.01,0.98,781957,313.3,69.421875
sim,pacbio,child,chr21,10,raw,N,no_merged,downs_s1_m20,0.05,0.0001,0.52,65013,69.28999999999999,62.70703125
ashk,pacbio,child,chr21,all,realigned,N,no_merged,downs_s1_m15,0.05,0.01,0.57,67410,8.67,5.59765625
ashk,pacbio,child,chr21,10,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.001,1.79,58449,4.87,4.0078125
ashk,pacbio,child,chr21,20,realigned,N,no_merged,downs_s1_m15,0.05,0.01,0.53,60960,6.41,5.953125
sim,pacbio,child,chr21,20,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.001,0.22,99009,71.91,37.78125
ashk,pacbio,child,chr1,10,realigned,N,no_merged,downs_s1_m15,0.05,0.0001,0.31,208860,51.48,9.2890625
sim,pacbio,child,chr21,all,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.1,0.02,79200,2.57,7.5
ashk,pacbio,child,chr21,15,raw,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.001,1.10,73748,6.99,5.9375
sim,pacbio,child,chr1,20,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.001,0.05,326820,236.24,29.2734375
ashk,pacbio,child,chr1,60,raw,15,no_merged,no_downs,0.05,0.01,0.51,381773,17.89,6.3515625
sim,pacbio,child,chr1,10,raw,25,no_merged,no_downs,0.05,0.001,1.04,274802,43.66,22.49609375
sim,pacbio,child,chr1,30,realigned,N,no_merged,downs_s1_m15,0.05,0.01,0.05,344430,29.35,5.88671875
sim,pacbio,child,chr1,30,realigned,20,no_merged,no_downs,0.05,0.0001,0.04,436830,1718.91,158.15625
ashk,pacbio,child,chr1,40,raw,20,no_merged,no_downs,0.05,0.001,0.44,465068,675.13,99.6640625
sim,pacbio,child,chr1,20,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.0001,0.05,325830,623.85,66.49609375
sim,pacbio,child,chr1,all,raw,15,no_merged,no_downs,0.05,0.01,0.40,408802,16.63,4.91796875
ashk,pacbio,child,chr1,5,raw,20,no_merged,no_downs,0.05,0.001,4.47,124636,2.33,2.85546875
ashk,pacbio,child,chr21,20,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.001,0.55,54270,9.59,6.69140625
sim,pacbio,child,chr1,50,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.1,0.23,505080,16.02,7.94140625
ashk,pacbio,child,chr1,10,realigned,15,no_merged,no_downs,0.05,0.001,0.31,208020,21.14,5.07421875
sim,pacbio,child,chr1,5,raw,N,no_merged,downs_s1_m15,0.05,0.0001,3.50,124655,3.72,4.37109375
sim,pacbio,child,chr21,40,realigned,20,no_merged,no_downs,0.05,0.001,0.42,90180,156.82,78.6328125
ashk,pacbio,child,chr21,40,raw,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.1,2.11,133804,4.53,4.390625
sim,pacbio,child,chr21,40,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.0001,0.51,100759,341.21,122.63671875
ashk,pacbio,child,chr1,40,raw,15,no_merged,no_downs,0.05,0.01,0.54,382996,18.2,6.2109375
ashk,pacbio,child,chr1,40,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.01,0.24,433200,229.5,28.234375
ashk,pacbio,child,chr21,15,realigned,15,no_merged,no_downs,0.05,0.01,0.53,50940,3.54,3.87109375
ashk,pacbio,child,chr21,15,raw,25,no_merged,no_downs,0.05,0.01,0.87,113405,96.63,128.984375
sim,pacbio,child,chr1,40,realigned,N,no_merged,downs_s1_m15,0.05,0.1,0.25,390420,8.4,3.7265625
sim,pacbio,child,chr21,5,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.001,2.05,29329,0.51,2.20703125
ashk,pacbio,child,chr1,40,realigned,20,no_merged,no_downs,0.05,0.001,0.24,378090,768.04,112.94921875
ashk,pacbio,child,chr21,10,raw,20,no_merged,no_downs,0.05,0.0001,1.68,62355,41.04,28.75
ashk,pacbio,child,chr21,20,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.001,0.53,63960,67.91,39.2734375
sim,pacbio,child,chr1,5,raw,N,no_merged,downs_s1_m15,0.05,0.001,3.48,126151,2.64,2.9296875
sim,pacbio,child,chr1,50,raw,15,no_merged,no_downs,0.05,0.1,0.46,498920,10.65,4.54296875
sim,pacbio,child,chr1,10,realigned,N,no_merged,downs_s1_m15,0.05,0.0001,0.08,233520,47.62,7.4609375
sim,pacbio,child,chr1,25,realigned,20,no_merged,no_downs,0.05,0.1,0.05,479970,14.51,6.9375
ashk,pacbio,child,chr21,all,raw,N,no_merged,downs_s1_m20,0.05,0.1,0.84,147781,88.68,78.17578125
ashk,pacbio,child,chr1,40,realigned,15,no_merged,no_downs,0.05,0.001,0.24,280800,61.39,13.8125
ashk,pacbio,child,chr21,5,realigned,20,no_merged,no_downs,0.05,0.01,0.71,23640,0.35,2.08203125
ashk,pacbio,child,chr21,5,raw,N,no_merged,downs_s1_m15,0.05,0.001,3.63,29734,0.68,2.45703125
ashk,pacbio,child,chr1,60,realigned,N,no_merged,downs_s1_m15,0.05,0.0001,0.24,345390,328.14,36.8984375
sim,pacbio,child,chr21,15,realigned,25,no_merged,no_downs,0.05,0.001,0.00,84480,411.76,244.69140625
ashk,pacbio,child,chr21,40,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.001,1.05,128023,132.89,53.765625
ashk,pacbio,child,chr1,20,realigned,N,no_merged,downs_s1_m20,0.05,0.1,0.25,413400,26.07,35.515625
ashk,pacbio,child,chr1,20,raw,N,no_merged,downs_s1_m15,0.05,0.1,1.20,505392,14.96,5.265625
sim,pacbio,child,chr21,10,realigned,25,no_merged,no_downs,0.05,0.1,0.05,72240,1.79,3.66796875
sim,pacbio,child,chr1,50,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.01,0.24,347220,22.69,4.421875
sim,pacbio,child,chr21,60,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.1,0.92,153072,48.53,37.81640625
sim,pacbio,child,chr21,5,raw,15,no_merged,no_downs,0.05,0.001,2.00,32254,0.95,2.71484375
ashk,pacbio,child,chr21,50,realigned,N,no_merged,downs_s1_m15,0.05,0.1,0.57,76110,1.95,2.875
sim,pacbio,child,chr1,15,raw,N,no_merged,downs_s1_m15,0.05,0.01,0.69,379673,17.03,4.390625
ashk,pacbio,child,chr21,25,raw,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.1,2.10,128459,3.83,4.62890625
sim,pacbio,child,chr21,40,realigned,15,no_merged,no_downs,0.05,0.01,0.42,69300,4.05,4.47265625
sim,pacbio,child,chr21,30,raw,20,no_merged,no_downs,0.05,0.01,0.17,111349,35.05,25.53125
ashk,pacbio,child,chr21,50,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.1,1.40,176778,96.6,56.51171875
ashk,pacbio,child,chr21,5,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.001,0.71,20130,0.39,2.04296875
ashk,pacbio,child,chr1,15,realigned,20,no_merged,no_downs,0.05,0.001,0.25,308280,253.26,39.546875
ashk,pacbio,child,chr1,15,realigned,15,no_merged,no_downs,0.05,0.01,0.25,263640,19.62,4.328125
sim,pacbio,child,chr1,15,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.1,0.08,317370,3.14,2.6171875
sim,pacbio,child,chr1,20,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.01,0.05,290310,14.94,4.14453125
ashk,pacbio,child,chr21,20,realigned,N,no_merged,downs_s1_m15,0.05,0.001,0.53,59580,19.71,12.625
sim,pacbio,child,chr1,30,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.01,0.05,307530,17.35,4.44140625
sim,pacbio,child,chr1,20,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.001,0.05,287640,43.38,7.1796875
ashk,pacbio,child,chr1,50,raw,20,no_merged,no_downs,0.05,0.1,0.52,645218,119.97999999999999,26.53515625
sim,pacbio,child,chr1,20,raw,15,no_merged,no_downs,0.05,0.1,0.50,479490,10.01,3.546875
sim,pacbio,child,chr1,15,realigned,15,no_merged,no_downs,0.05,0.01,0.05,308490,16.71,4.15625
sim,pacbio,child,chr21,20,raw,N,no_merged,downs_s1_m20,0.05,0.1,0.38,135429,43.24,27.02734375
ashk,pacbio,child,chr21,all,raw,20,no_merged,no_downs,0.05,0.01,0.63,93848,33.77,17.37109375
sim,pacbio,child,chr21,60,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.1,0.44,68790,1.04,2.328125
sim,pacbio,child,chr1,all,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.001,0.34,485427,386.03,36.32421875
ashk,pacbio,child,chr1,25,raw,N,no_merged,downs_s1_m20,0.05,0.01,0.73,579339,266.39,81.84765625
ashk,pacbio,child,chr1,10,realigned,15,no_merged,no_downs,0.05,0.0001,0.31,207690,41.93,7.5078125
sim,pacbio,child,chr1,60,realigned,N,no_merged,downs_s1_m20,0.05,0.001,0.23,481770,1806.04,207.9375
sim,pacbio,child,chr1,25,raw,20,no_merged,no_downs,0.05,0.1,0.37,677301,131.89,25.6171875
ashk,pacbio,child,chr1,15,raw,20,no_merged,no_downs,0.05,0.01,0.96,474533,76.69,60.47265625
ashk,pacbio,child,chr1,20,raw,25,no_merged,no_downs,0.05,0.001,0.64,559099,2060.91,484.73046875
ashk,pacbio,child,chr1,50,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.01,0.25,368340,25.7,5.78125
ashk,pacbio,child,chr21,20,raw,N,no_merged,downs_s1_m20,0.05,0.001,0.75,101060,142.96,54.1015625
ashk,pacbio,child,chr21,60,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.001,1.08,133262,157.99,54.25
sim,pacbio,child,chr21,10,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.0001,0.04,40710,7.23,6.40234375
ashk,pacbio,child,chr1,60,raw,20,no_merged,no_downs,0.05,0.01,0.43,504526,193.74,33.36328125
sim,pacbio,child,chr1,20,realigned,20,no_merged,no_downs,0.05,0.001,0.05,414150,523.98,57.9140625
sim,pacbio,child,chr1,25,raw,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.001,0.41,387995,45.98,6.97265625
sim,pacbio,child,chr21,60,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.01,0.43,77940,39.91,14.7578125
ashk,pacbio,child,chr1,25,realigned,N,no_merged,downs_s1_m20,0.05,0.001,0.22,403650,1250.45,113.7578125
ashk,pacbio,child,chr1,40,realigned,20,no_merged,no_downs,0.05,0.1,0.24,419940,15.23,6.4296875
sim,pacbio,child,chr1,30,raw,15,no_merged,no_downs,0.05,0.1,0.46,488785,9.37,3.48046875
ashk,pacbio,child,chr21,25,raw,N,no_merged,downs_s1_m20,0.05,0.01,0.80,117544,61.96,44.109375
ashk,pacbio,child,chr1,all,raw,20,no_merged,no_downs,0.05,0.001,0.41,457693,640.85,110.9296875
ashk,pacbio,child,chr21,60,realigned,N,no_merged,downs_s1_m15,0.05,0.001,0.57,65700,26.73,11.96484375
ashk,pacbio,child,chr21,5,realigned,N,no_merged,downs_s1_m15,0.05,0.01,0.71,23640,0.38,2.08203125
ashk,pacbio,child,chr1,all,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.001,0.26,371610,85.85,11.36328125
ashk,pacbio,child,chr1,all,realigned,20,no_merged,no_downs,0.05,0.01,0.23,382320,188.9,33.26953125
sim,pacbio,child,chr21,60,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.1,0.43,93540,2.84,4.2421875
sim,pacbio,child,chr1,25,realigned,N,no_merged,downs_s1_m20,0.05,0.001,0.04,440220,1162.22,114.65234375
sim,pacbio,child,chr21,all,raw,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.0001,0.30,70468,20.53,9.10546875
ashk,pacbio,child,chr1,30,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.001,0.24,318630,64.45,8.96484375
ashk,pacbio,child,chr21,25,raw,15,no_merged,no_downs,0.05,0.0001,0.79,62117,22.76,11.26953125
sim,pacbio,child,chr1,all,raw,15,no_merged,no_downs,0.05,0.0001,0.31,342377,118.75999999999999,14.23828125
sim,pacbio,child,chr1,20,raw,N,no_merged,downs_s1_m20,0.05,0.01,0.38,527839,169.31,35.8046875
ashk,pacbio,child,chr21,40,raw,20,no_merged,no_downs,0.05,0.001,0.71,85307,132.75,55.7109375
sim,pacbio,child,chr21,all,realigned,N,no_merged,downs_s1_m20,0.05,0.001,0.03,82650,235.07,82.0703125
ashk,pacbio,child,chr21,10,realigned,25,no_merged,no_downs,0.05,0.0001,0.67,46230,80.1,151.40234375
ashk,pacbio,child,chr1,60,realigned,N,no_merged,downs_s1_m15,0.05,0.1,0.24,381780,10.38,5.7890625
ashk,pacbio,child,chr21,30,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.1,0.55,84270,2.92,4.421875
ashk,pacbio,child,chr1,25,realigned,N,no_merged,downs_s1_m15,0.05,0.01,0.24,317760,32.34,5.52734375
ashk,pacbio,child,chr1,40,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.1,1.15,862329,334.58,75.89453125
ashk,pacbio,child,chr1,25,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.01,0.23,309420,18.73,4.4375
sim,pacbio,child,chr1,all,raw,20,no_merged,no_downs,0.05,0.0001,0.27,458821,1540.95,144.4765625
ashk,pacbio,child,chr21,10,raw,20,no_merged,no_downs,0.05,0.1,2.28,94281,5.93,7.5859375
ashk,pacbio,child,chr1,50,raw,N,no_merged,downs_s1_m15,0.05,0.1,1.04,543662,21.2,6.35546875
ashk,pacbio,child,chr1,30,raw,20,no_merged,no_downs,0.05,0.0001,0.48,458836,1644.5,223.875
ashk,pacbio,child,chr21,5,realigned,15,no_merged,no_downs,0.05,0.1,0.90,31260,0.2,2.03515625
ashk,pacbio,child,chr1,25,realigned,20,no_merged,no_downs,0.05,0.0001,0.23,375120,1639.57,149.484375
ashk,pacbio,child,chr1,25,raw,15,no_merged,no_downs,0.05,0.001,0.59,351814,48.61,8.05078125
ashk,pacbio,child,chr21,25,raw,N,no_merged,downs_s1_m15,0.05,0.1,1.13,104362,3.98,4.4140625
ashk,pacbio,child,chr21,10,raw,20,no_merged,no_downs,0.05,0.001,1.56,67147,16.49,13.81640625
ashk,pacbio,child,chr1,all,realigned,20,no_merged,no_downs,0.05,0.001,0.23,376980,750.48,118.109375
ashk,pacbio,child,chr21,50,raw,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.01,1.50,120062,5.29,5.109375
ashk,pacbio,child,chr1,all,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.0001,0.85,649654,2558.21,182.58984375
ashk,pacbio,child,chr21,20,realigned,N,no_merged,downs_s1_m15,0.05,0.0001,0.53,59580,44.26,22.58203125
sim,pacbio,child,chr1,60,realigned,15,no_merged,no_downs,0.05,0.01,0.21,363270,20.18,6.85546875
ashk,pacbio,child,chr1,40,raw,N,no_merged,downs_s1_m15,0.05,0.0001,0.78,389743,205.24,18.734375
sim,pacbio,child,chr1,15,realigned,N,no_merged,downs_s1_m15,0.05,0.01,0.06,307590,20.06,4.6953125
sim,pacbio,child,chr21,40,raw,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.1,1.41,118758,3.06,3.328125
ashk,pacbio,child,chr21,25,realigned,N,no_merged,downs_s1_m15,0.05,0.001,0.51,59790,21.2,10.28125
ashk,pacbio,child,chr1,60,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.1,1.27,932713,459.77,88.453125
ashk,pacbio,child,chr1,50,raw,15,no_merged,no_downs,0.05,0.01,0.52,386619,18.97,6.38671875
ashk,pacbio,child,chr1,25,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.0001,0.22,359460,1171.65,134.140625
sim,pacbio,child,chr21,5,raw,N,no_merged,downs_s1_m20,0.05,0.0001,1.98,31502,1.59,3.4921875
sim,pacbio,child,chr21,all,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.1,0.01,67200,0.92,2.3203125
ashk,pacbio,child,chr21,20,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.01,1.03,123868,27.53,26.5625
sim,pacbio,child,chr21,15,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.0001,0.00,55650,91.03999999999999,38.33984375
ashk,pacbio,child,chr21,5,realigned,25,no_merged,no_downs,0.05,0.001,0.71,23190,0.64,2.265625
ashk,pacbio,child,chr21,25,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.001,0.90,109472,95.13,48.671875
sim,pacbio,child,chr1,25,realigned,N,no_merged,downs_s1_m15,0.05,0.0001,0.05,341100,211.22,21.3828125
sim,pacbio,child,chr21,50,raw,20,no_merged,no_downs,0.05,0.0001,0.44,83886,366.28,175.98828125
ashk,pacbio,child,chr21,30,realigned,15,no_merged,no_downs,0.05,0.0001,0.56,50760,26.23,12.84375
sim,pacbio,child,chr21,60,realigned,N,no_merged,downs_s1_m20,0.05,0.001,0.42,87810,362.67,125.296875
sim,pacbio,child,chr1,30,realigned,N,no_merged,downs_s1_m20,0.05,0.01,0.04,444930,290.46,34.85546875
ashk,pacbio,child,chr1,20,raw,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.0001,0.96,386359,99.64,13.59375
sim,pacbio,child,chr21,5,realigned,20,no_merged,no_downs,0.05,0.0001,0.13,29040,1.49,3.48828125
ashk,pacbio,child,chr1,5,raw,25,no_merged,no_downs,0.05,0.1,5.71,192874,1.4,2.37890625
sim,pacbio,child,chr1,5,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.1,0.76,144060,1.57,2.21875
ashk,pacbio,child,chr21,30,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.001,0.90,117274,118.31,88.9375
sim,pacbio,child,chr1,15,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.001,0.05,267210,73.01,20.90625
sim,pacbio,child,chr1,25,realigned,N,no_merged,downs_s1_m20,0.05,0.01,0.04,444930,290.42,34.77734375
ashk,pacbio,child,chr21,30,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.001,0.55,73290,133.25,37.8359375
sim,pacbio,child,chr21,50,raw,20,no_merged,no_downs,0.05,0.1,0.52,132720,27.87,26.8984375
ashk,pacbio,child,chr21,20,raw,N,no_merged,downs_s1_m20,0.05,0.01,0.77,119138,51.65,29.8515625
ashk,pacbio,child,chr1,50,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.0001,0.24,357120,195.58,16.9296875
ashk,pacbio,child,chr21,all,raw,15,no_merged,no_downs,0.05,0.0001,0.70,57298,24.3,12.14453125
ashk,pacbio,child,chr1,10,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.001,1.67,255561,14.61,6.8125
sim,pacbio,child,chr1,25,raw,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.1,0.88,555043,12.24,3.8984375
ashk,pacbio,child,chr21,30,realigned,N,no_merged,downs_s1_m15,0.05,0.001,0.56,60840,22.15,9.84375
ashk,pacbio,child,chr1,5,raw,N,no_merged,downs_s1_m15,0.05,0.001,4.47,124618,2.61,2.85546875
ashk,pacbio,child,chr21,60,raw,15,no_merged,no_downs,0.05,0.01,0.66,69461,3.38,3.65234375
ashk,pacbio,child,chr1,15,realigned,20,no_merged,no_downs,0.05,0.01,0.25,312180,64.97,12.41796875
ashk,pacbio,child,chr1,25,raw,15,no_merged,no_downs,0.05,0.1,0.69,475690,9.45,3.66015625
sim,pacbio,child,chr1,15,raw,15,no_merged,no_downs,0.05,0.1,0.76,466677,8.36,3.640625
sim,pacbio,child,chr21,5,realigned,N,no_merged,downs_s1_m15,0.05,0.0001,0.13,28950,1.5,3.49609375
ashk,pacbio,child,chr21,50,raw,15,no_merged,no_downs,0.05,0.001,0.73,60124,10.29,6.51171875
ashk,pacbio,child,chr21,25,raw,20,no_merged,no_downs,0.05,0.0001,0.77,86918,305.94,114.12109375
sim,pacbio,child,chr1,50,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.1,0.70,812373,229.22,52.16015625
ashk,pacbio,child,chr1,15,raw,25,no_merged,no_downs,0.05,0.1,1.23,585697,344.99,310.43359375
sim,pacbio,child,chr1,40,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.001,0.50,559839,612.85,59.2734375
sim,pacbio,child,chr1,50,realigned,N,no_merged,downs_s1_m20,0.05,0.0001,0.23,480660,4971.0,494.5390625
sim,pacbio,child,chr1,25,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.01,0.04,373350,106.09,13.953125
sim,pacbio,child,chr1,5,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.001,0.46,103680,2.02,2.23046875
sim,pacbio,child,chr21,all,raw,N,no_merged,downs_s1_m15,0.05,0.001,0.24,74414,13.1,7.1484375
sim,pacbio,child,chr21,60,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.001,0.60,112015,125.37,49.65234375
ashk,pacbio,child,chr1,5,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.0001,0.65,93480,2.1,2.32421875
sim,pacbio,child,chr21,15,realigned,N,no_merged,downs_s1_m15,0.05,0.001,0.02,60510,15.32,8.23828125
sim,pacbio,child,chr1,10,raw,25,no_merged,no_downs,0.05,0.1,1.73,398903,9.87,7.296875
sim,pacbio,child,chr1,25,raw,15,no_merged,no_downs,0.05,0.01,0.40,408802,17.0,4.91796875
sim,pacbio,child,chr1,50,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.0001,0.24,342750,166.69,13.49609375
sim,pacbio,child,chr21,40,raw,N,no_merged,downs_s1_m20,0.05,0.001,0.51,96545,210.61,70.7890625
ashk,pacbio,child,chr1,30,raw,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.1,1.50,634439,17.21,4.15625
sim,pacbio,child,chr1,60,raw,N,no_merged,downs_s1_m15,0.05,0.001,0.58,389051,78.72,11.4375
sim,pacbio,child,chr1,40,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.1,0.22,486870,15.44,31.59765625
sim,pacbio,child,chr1,all,realigned,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.001,0.04,302790,51.96,8.046875
ashk,pacbio,child,chr1,10,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.001,0.31,179580,12.21,5.2421875
sim,pacbio,child,chr1,5,raw,N,merged_e15_m25_t6_n3,downs_s1_m15,0.05,0.1,4.93,180248,1.99,2.25
ashk,pacbio,child,chr21,5,realigned,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.1,0.93,26670,0.19,1.99609375
ashk,pacbio,child,chr1,30,raw,N,merged_e15_m25_t6_n3,downs_s1_m20,0.05,0.1,0.97,792323,240.0,84.44140625
ashk,pacbio,child,chr1,15,raw,N,no_merged,downs_s1_m15,0.05,0.0001,1.12,334871,108.47,13.1953125
sim,pacbio,child,chr21,60,realigned,20,no_merged,no_downs,0.05,0.01,0.42,92310,38.16,21.19140625
