                      #dataset	raw/realigned	whatshap_downsample	             merging	random_downsample	epsilon_alpha	time(secs)	mem(kB)	swerr(%)	
  ashk.pacbio.child.chr1.cov10	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     20.84	   6704	    1.68	
 ashk.pacbio.child.chr21.cov15	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     16.14	  10908	    0.57	
 ashk.pacbio.child.chr21.cov15	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	      7.46	   6068	    0.57	
 ashk.pacbio.child.chr21.cov15	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	      2.61	   3372	    0.54	
 ashk.pacbio.child.chr21.cov15	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      0.71	   2380	    0.61	
 ashk.pacbio.child.chr21.cov15	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	     76.83	  58336	    0.56	
 ashk.pacbio.child.chr21.cov15	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	     30.04	  25660	    0.56	
 ashk.pacbio.child.chr21.cov15	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	      7.97	   7648	    0.53	
 ashk.pacbio.child.chr21.cov15	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	      1.22	   2888	    0.61	
 ashk.pacbio.child.chr21.cov20	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     20.39	   9888	    1.14	
 ashk.pacbio.child.chr21.cov20	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	      8.74	   6068	    1.19	
 ashk.pacbio.child.chr21.cov20	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	      3.82	   4476	    1.43	
 ashk.pacbio.child.chr21.cov20	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      3.26	   3968	    1.67	
 ashk.pacbio.child.chr21.cov20	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	    176.71	  71616	    1.03	
 ashk.pacbio.child.chr21.cov20	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	     68.29	  34644	    0.89	
 ashk.pacbio.child.chr21.cov20	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	     27.38	  27200	    1.03	
 ashk.pacbio.child.chr21.cov20	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	     41.07	  46472	    1.27	
 ashk.pacbio.child.chr21.cov20	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     21.43	  11752	    0.55	
 ashk.pacbio.child.chr21.cov20	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	      9.52	   6852	    0.55	
 ashk.pacbio.child.chr21.cov20	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	      3.25	   3948	    0.55	
 ashk.pacbio.child.chr21.cov20	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      0.86	   2624	    0.55	
 ashk.pacbio.child.chr21.cov20	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	    178.73	  87440	    0.53	
 ashk.pacbio.child.chr21.cov20	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	     67.61	  40216	    0.53	
 ashk.pacbio.child.chr21.cov20	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	     17.34	  13656	    0.53	
 ashk.pacbio.child.chr21.cov20	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	      3.40	  21344	    0.53	
 ashk.pacbio.child.chr21.cov25	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     23.31	  10480	    1.20	
 ashk.pacbio.child.chr21.cov25	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     10.10	   6204	    1.27	
 ashk.pacbio.child.chr21.cov25	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	      4.08	   4700	    1.62	
 ashk.pacbio.child.chr21.cov25	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      3.72	   4740	    2.10	
 ashk.pacbio.child.chr21.cov25	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	    249.74	  98168	    0.96	
 ashk.pacbio.child.chr21.cov25	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	     94.61	  49840	    0.90	
 ashk.pacbio.child.chr21.cov25	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	     40.24	  34504	    1.20	
 ashk.pacbio.child.chr21.cov25	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	     44.99	  34404	    1.35	
 ashk.pacbio.child.chr21.cov25	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     25.95	  10360	    0.53	
 ashk.pacbio.child.chr21.cov25	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     11.12	   6304	    0.53	
 ashk.pacbio.child.chr21.cov25	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	      3.71	   3656	    0.53	
 ashk.pacbio.child.chr21.cov25	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      1.01	   2804	    0.50	
 ashk.pacbio.child.chr21.cov25	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	    287.01	 110936	    0.54	
 ashk.pacbio.child.chr21.cov25	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	    105.23	  49484	    0.54	
 ashk.pacbio.child.chr21.cov25	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	     26.53	  17852	    0.54	
 ashk.pacbio.child.chr21.cov25	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	      2.68	   3316	    0.52	
 ashk.pacbio.child.chr21.cov30	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     25.64	  11684	    1.18	
 ashk.pacbio.child.chr21.cov30	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     10.74	   6752	    1.09	
 ashk.pacbio.child.chr21.cov30	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	      4.37	   5280	    1.39	
 ashk.pacbio.child.chr21.cov30	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      4.28	   5380	    2.15	
 ashk.pacbio.child.chr21.cov30	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	    301.83	 111940	    0.92	
 ashk.pacbio.child.chr21.cov30	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	    117.70	  91072	    0.90	
 ashk.pacbio.child.chr21.cov30	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	     52.29	  90652	    1.36	
 ashk.pacbio.child.chr21.cov30	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	     59.01	  59960	    1.28	
 ashk.pacbio.child.chr21.cov30	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     28.56	  10832	    0.54	
 ashk.pacbio.child.chr21.cov30	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     12.18	   6344	    0.54	
 ashk.pacbio.child.chr21.cov30	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	      4.02	   3668	    0.54	
 ashk.pacbio.child.chr21.cov30	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      1.04	   2384	    0.53	
 ashk.pacbio.child.chr21.cov30	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	    359.97	  90032	    0.55	
 ashk.pacbio.child.chr21.cov30	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	    132.75	  38744	    0.55	
 ashk.pacbio.child.chr21.cov30	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	     33.95	  12780	    0.55	
 ashk.pacbio.child.chr21.cov30	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	      2.90	   4528	    0.55	
 ashk.pacbio.child.chr21.cov40	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     28.55	  11224	    1.29	
 ashk.pacbio.child.chr21.cov40	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     11.52	   6652	    1.20	
 ashk.pacbio.child.chr21.cov40	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	      4.53	   4264	    1.46	
 ashk.pacbio.child.chr21.cov40	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      4.44	   4496	    2.11	
 ashk.pacbio.child.chr21.cov40	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	    361.23	 110052	    0.93	
 ashk.pacbio.child.chr21.cov40	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	    132.31	  55056	    1.05	
 ashk.pacbio.child.chr21.cov40	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	     55.81	  28668	    1.26	
 ashk.pacbio.child.chr21.cov40	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	     74.74	  47072	    1.49	
 ashk.pacbio.child.chr21.cov40	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     32.77	  12008	    0.56	
 ashk.pacbio.child.chr21.cov40	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     13.31	   6884	    0.56	
 ashk.pacbio.child.chr21.cov40	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	      4.34	   3944	    0.56	
 ashk.pacbio.child.chr21.cov40	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      1.13	   2436	    0.57	
 ashk.pacbio.child.chr21.cov40	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	    468.95	 122176	    0.55	
 ashk.pacbio.child.chr21.cov40	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	    171.12	  52860	    0.55	
 ashk.pacbio.child.chr21.cov40	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	     43.64	  16644	    0.55	
 ashk.pacbio.child.chr21.cov40	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	      3.22	   3836	    0.56	
 ashk.pacbio.child.chr21.cov50	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     31.61	  11164	    1.25	
 ashk.pacbio.child.chr21.cov50	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     12.73	   6628	    1.28	
 ashk.pacbio.child.chr21.cov50	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	      5.25	   5232	    1.50	
 ashk.pacbio.child.chr21.cov50	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      4.54	   4608	    1.70	
 ashk.pacbio.child.chr21.cov50	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	    436.20	 128320	    0.99	
 ashk.pacbio.child.chr21.cov50	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	    158.97	  65744	    0.93	
 ashk.pacbio.child.chr21.cov50	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	     64.82	  67768	    1.12	
 ashk.pacbio.child.chr21.cov50	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	     96.21	  57868	    1.40	
 ashk.pacbio.child.chr21.cov50	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     35.43	  10540	    0.61	
 ashk.pacbio.child.chr21.cov50	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     14.61	   6088	    0.61	
 ashk.pacbio.child.chr21.cov50	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	      4.67	   3684	    0.61	
 ashk.pacbio.child.chr21.cov50	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      1.19	   2372	    0.62	
 ashk.pacbio.child.chr21.cov50	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	    550.50	 116736	    0.58	
 ashk.pacbio.child.chr21.cov50	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	    199.19	  53136	    0.58	
 ashk.pacbio.child.chr21.cov50	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	     51.76	  19504	    0.58	
 ashk.pacbio.child.chr21.cov50	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	      4.01	  10580	    0.59	
  ashk.pacbio.child.chr21.cov5	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	      0.57	   2228	    3.68	
  ashk.pacbio.child.chr21.cov5	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	      0.39	   2228	    3.84	
  ashk.pacbio.child.chr21.cov5	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	      0.23	   2096	    4.33	
  ashk.pacbio.child.chr21.cov5	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      0.22	   2084	    5.28	
  ashk.pacbio.child.chr21.cov5	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	      0.55	   2224	    3.68	
  ashk.pacbio.child.chr21.cov5	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	      0.38	   2224	    3.84	
  ashk.pacbio.child.chr21.cov5	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	      0.21	   2100	    4.33	
  ashk.pacbio.child.chr21.cov5	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	      0.17	   2084	    5.28	
  ashk.pacbio.child.chr21.cov5	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	      0.47	   2072	    0.71	
  ashk.pacbio.child.chr21.cov5	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	      0.34	   2092	    0.71	
  ashk.pacbio.child.chr21.cov5	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	      0.22	   2088	    0.71	
  ashk.pacbio.child.chr21.cov5	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      0.13	   2040	    0.93	
  ashk.pacbio.child.chr21.cov5	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	      0.45	   2072	    0.71	
  ashk.pacbio.child.chr21.cov5	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	      0.34	   2092	    0.71	
  ashk.pacbio.child.chr21.cov5	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	      0.21	   2092	    0.71	
  ashk.pacbio.child.chr21.cov5	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	      0.15	   2044	    0.93	
 ashk.pacbio.child.chr21.cov60	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     31.74	  12008	    1.19	
 ashk.pacbio.child.chr21.cov60	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     12.53	   6740	    1.41	
 ashk.pacbio.child.chr21.cov60	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	      5.18	   5444	    1.81	
 ashk.pacbio.child.chr21.cov60	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      4.48	   4992	    2.20	
 ashk.pacbio.child.chr21.cov60	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	    432.45	 126512	    1.06	
 ashk.pacbio.child.chr21.cov60	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	    157.33	  55552	    1.08	
 ashk.pacbio.child.chr21.cov60	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	     76.18	  70932	    1.32	
 ashk.pacbio.child.chr21.cov60	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	     95.99	  54900	    1.40	
 ashk.pacbio.child.chr21.cov60	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     36.86	  15344	    0.59	
 ashk.pacbio.child.chr21.cov60	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     15.34	   8712	    0.59	
 ashk.pacbio.child.chr21.cov60	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	      4.93	   4524	    0.59	
 ashk.pacbio.child.chr21.cov60	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      1.28	   2648	    0.63	
 ashk.pacbio.child.chr21.cov60	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	    588.67	 245192	    0.58	
 ashk.pacbio.child.chr21.cov60	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	    213.56	 107204	    0.58	
 ashk.pacbio.child.chr21.cov60	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	     54.04	  37740	    0.58	
 ashk.pacbio.child.chr21.cov60	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	      4.04	   5696	    0.59	
ashk.pacbio.child.chr21.covall	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     30.44	  11780	    1.19	
ashk.pacbio.child.chr21.covall	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     12.50	   6740	    1.41	
ashk.pacbio.child.chr21.covall	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	      5.33	   5448	    1.81	
ashk.pacbio.child.chr21.covall	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      4.49	   4996	    2.20	
ashk.pacbio.child.chr21.covall	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	    431.88	 126640	    1.06	
ashk.pacbio.child.chr21.covall	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	    157.27	  55460	    1.08	
ashk.pacbio.child.chr21.covall	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	     76.21	  70784	    1.32	
ashk.pacbio.child.chr21.covall	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	     96.03	  54900	    1.40	
ashk.pacbio.child.chr21.covall	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     37.19	  15344	    0.59	
ashk.pacbio.child.chr21.covall	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     15.31	   8952	    0.59	
ashk.pacbio.child.chr21.covall	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	      4.93	   4528	    0.59	
ashk.pacbio.child.chr21.covall	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      1.25	   2644	    0.63	
ashk.pacbio.child.chr21.covall	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	    589.34	 245196	    0.58	
ashk.pacbio.child.chr21.covall	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	    214.00	 107248	    0.58	
ashk.pacbio.child.chr21.covall	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	     54.01	  37744	    0.58	
ashk.pacbio.child.chr21.covall	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	      4.07	   5696	    0.59	
   sim.pacbio.child.chr1.cov10	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     19.92	   5184	    1.03	
   sim.pacbio.child.chr1.cov10	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     10.15	   3616	    1.04	
   sim.pacbio.child.chr1.cov10	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	      4.28	   2944	    1.28	
   sim.pacbio.child.chr1.cov10	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      3.03	   2796	    2.11	
   sim.pacbio.child.chr1.cov10	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	     26.97	  11740	    1.02	
   sim.pacbio.child.chr1.cov10	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	     12.95	   6240	    1.02	
   sim.pacbio.child.chr1.cov10	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	      5.31	   5464	    1.28	
   sim.pacbio.child.chr1.cov10	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	      5.48	  15372	    2.10	
   sim.pacbio.child.chr1.cov10	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     17.26	   5976	    0.08	
   sim.pacbio.child.chr1.cov10	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	      9.44	   4396	    0.09	
   sim.pacbio.child.chr1.cov10	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	      3.90	   2988	    0.09	
   sim.pacbio.child.chr1.cov10	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      1.50	   2508	    0.17	
   sim.pacbio.child.chr1.cov10	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	     22.10	   6440	    0.08	
   sim.pacbio.child.chr1.cov10	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	     11.18	   4228	    0.09	
   sim.pacbio.child.chr1.cov10	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	      4.32	   2988	    0.09	
   sim.pacbio.child.chr1.cov10	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	      1.58	   2512	    0.17	
   sim.pacbio.child.chr1.cov15	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     59.63	   8696	    0.51	
   sim.pacbio.child.chr1.cov15	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     27.00	   5528	    0.53	
   sim.pacbio.child.chr1.cov15	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	     10.35	   3960	    0.78	
   sim.pacbio.child.chr1.cov15	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      7.04	   3428	    1.15	
   sim.pacbio.child.chr1.cov15	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	    203.32	  42400	    0.46	
   sim.pacbio.child.chr1.cov15	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	     79.80	  19232	    0.50	
   sim.pacbio.child.chr1.cov15	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	     25.56	   8480	    0.74	
   sim.pacbio.child.chr1.cov15	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	     22.99	  14516	    1.06	
   sim.pacbio.child.chr1.cov15	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     60.50	   8400	    0.05	
   sim.pacbio.child.chr1.cov15	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     28.28	   5524	    0.06	
   sim.pacbio.child.chr1.cov15	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	     10.23	   3672	    0.06	
   sim.pacbio.child.chr1.cov15	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      3.02	   2680	    0.08	
   sim.pacbio.child.chr1.cov15	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	    179.51	  46816	    0.05	
   sim.pacbio.child.chr1.cov15	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	     72.69	  21408	    0.05	
   sim.pacbio.child.chr1.cov15	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	     20.23	   6596	    0.05	
   sim.pacbio.child.chr1.cov15	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	      3.99	   3404	    0.07	
   sim.pacbio.child.chr1.cov20	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     91.68	  10960	    0.48	
   sim.pacbio.child.chr1.cov20	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     39.33	   6640	    0.49	
   sim.pacbio.child.chr1.cov20	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	     14.45	   4024	    0.63	
   sim.pacbio.child.chr1.cov20	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	     10.14	   4292	    0.89	
   sim.pacbio.child.chr1.cov20	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	    632.04	  62724	    0.35	
   sim.pacbio.child.chr1.cov20	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	    236.96	  32252	    0.38	
   sim.pacbio.child.chr1.cov20	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	     74.00	  34776	    0.44	
   sim.pacbio.child.chr1.cov20	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	     69.27	  37912	    0.60	
   sim.pacbio.child.chr1.cov20	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	     98.31	  11780	    0.05	
   sim.pacbio.child.chr1.cov20	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     43.15	   7352	    0.05	
   sim.pacbio.child.chr1.cov20	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	        05_01	     14.80	   4244	    0.05	
   sim.pacbio.child.chr1.cov20	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	         05_1	      4.02	   2988	    0.07	
   sim.pacbio.child.chr1.cov20	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	      05_0001	    621.69	  68092	    0.05	
   sim.pacbio.child.chr1.cov20	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	       05_001	    235.41	  29976	    0.05	
   sim.pacbio.child.chr1.cov20	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	        05_01	     60.15	   9160	    0.05	
   sim.pacbio.child.chr1.cov20	    realigned	                 hN	merged_e15_m25_t6_n3	     downs_s1_m20	         05_1	      7.41	   4636	    0.06	
   sim.pacbio.child.chr1.cov25	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	      05_0001	    109.57	  11868	    0.39	
   sim.pacbio.child.chr1.cov25	          raw	                 hN	merged_e15_m25_t6_n3	     downs_s1_m15	       05_001	     45.75	   7140	    0.41	
